competitor,mark,date
Lennox MILLER,10.11,1968-10-13
Hermes RAMÍREZ,10.1,1968-10-13
Charlie GREENE,10.02,1968-10-13
Jim HINES,9.95,1968-10-14
Calvin SMITH,9.93,1983-07-03
Carl LEWIS,9.92,1988-09-24
Leroy BURRELL,9.9,1991-06-14
Leroy BURRELL,9.88,1991-08-25
Carl LEWIS,9.86,1991-08-25
Leroy BURRELL,9.85,1994-07-06
Donovan BAILEY,9.84,1996-07-27
Maurice GREENE,9.79,1999-06-16
Asafa POWELL,9.77,2005-06-14
Asafa POWELL,9.74,2007-09-09
Usain BOLT,9.72,2008-05-31
Usain BOLT,9.69,2008-08-16
Usain BOLT,9.58,2009-08-16